employee_id,employee_name,business_unit,join_date,status,region,cost_to_company
EMP1074,Mark Rodriguez,Retail,2019-04-14,Active,East,1680297
EMP1075,Rachel Diaz,Retail,2022-01-01,Active,North,1483295
EMP1076,Michael Brown,Enterprise,2019-10-01,Active,South,696054
EMP1077,Wesley Mason,Online,2022-10-17,Active,West,1746156
EMP1078,Thomas Brown,Retail,2020-01-30,Active,South,1439001
EMP1079,Amy Martinez MD,Retail,2019-03-12,Active,North,762526
EMP1080,Jennifer Jackson,Online,2019-03-20,Active,South,681709
EMP1081,Carol Anderson,Online,2022-05-29,Active,South,562421
EMP1082,Kimberly Le,Enterprise,2020-09-25,Active,North,645649
EMP1083,Michael Rosario,Retail,2021-02-25,Active,North,527304
EMP1084,Raymond Harrington,Retail,2022-07-22,Active,West,1325321
EMP1085,Stacey Schultz,Retail,2023-05-01,Active,South,624337
EMP1086,Joshua Perez,Retail,2022-02-02,Active,North,1742996
EMP1087,Kristina Walters,Online,2022-09-02,Active,East,745594
EMP1088,Jeffrey Anderson,Online,2021-02-08,Active,East,1064026
EMP1089,Alexander Pena,Retail,2021-04-26,Active,South,1313720
EMP1090,Mr. Jack Kirby,Retail,2022-07-05,Active,West,1379915
EMP1091,Phillip Briggs,Online,2020-08-14,Active,East,1778858
EMP1092,Craig Shepard,Enterprise,2022-08-07,Active,North,1122301
EMP1093,Sarah Lopez,Retail,2020-06-09,Active,East,1503484
EMP1094,Jesse Jones,Enterprise,2022-03-16,Active,North,1679073
EMP1095,Kenneth Calhoun,Enterprise,2022-11-15,Active,West,1031236
EMP1096,Chad Russo,Enterprise,2019-03-01,Active,North,1023817
EMP1097,Brenda Davis,Retail,2019-05-11,Active,East,695456
EMP1098,Ronnie Wang,Retail,2019-12-19,Active,North,1188273
EMP1099,Courtney Miller,Online,2023-07-25,Active,East,787907
EMP1100,Lawrence Bishop,Retail,2021-09-01,Active,North,1118619
EMP1101,Judy Olson,Enterprise,2021-06-20,Active,West,1235393
EMP1102,Kim Sparks,Online,2019-06-04,Active,North,951053
EMP1103,Christina Johnson,Online,2023-01-16,Active,East,1233874
EMP1104,Tina Garcia,Retail,2020-02-13,Active,North,1012205
EMP1105,Megan Dominguez,Retail,2023-08-22,Active,East,907720
EMP1106,Annette Ramsey,Retail,2019-02-28,Active,South,766481
EMP1107,Teresa Mosley,Retail,2021-06-11,Active,North,653465
EMP1108,Ronald Lindsey,Enterprise,2020-02-16,Active,East,1385631
EMP1109,Louis Russell,Retail,2021-11-18,Active,East,573124
EMP1110,Jerome Smith,Online,2019-02-18,Active,West,1079075
EMP1111,Jessica Harris,Retail,2022-05-10,Active,West,1260098
EMP1112,Krista Payne,Enterprise,2019-07-24,Active,West,1639909
EMP1113,Keith Patel,Online,2022-04-23,Active,North,1148924
EMP1114,Timothy Weeks,Enterprise,2023-09-14,Active,North,1453457
EMP1115,Kayla Gonzalez,Online,2019-11-06,Active,North,1312624
EMP1116,Charles Maddox,Online,2021-12-14,Active,North,1665485
EMP1117,Jeremiah Crawford,Enterprise,2019-12-03,Active,North,1448471
EMP1118,Brett Palmer,Online,2019-04-30,Active,South,1211470
EMP1119,Julie Li,Retail,2020-05-08,Active,East,639849
EMP1120,Bobby Garrett,Retail,2020-07-03,Active,East,1135395
EMP1121,Luke Friedman,Enterprise,2021-05-23,Active,South,599482
EMP1122,Nicole Henry,Enterprise,2021-02-08,Active,West,1102785
EMP1123,Dr. Michael Joseph,Retail,2021-12-24,Active,West,540437
EMP1124,Mr. Joseph Peck,Online,2021-02-27,Active,West,646158
EMP1125,Lisa Craig,Retail,2019-02-05,Active,West,1423105
EMP1126,David Peterson,Enterprise,2023-10-19,Active,East,699645
EMP1127,Monica Mosley,Online,2023-11-24,Active,North,435969
EMP1128,Stacey Hale,Online,2020-07-19,Active,West,1743173
EMP1129,Kathleen Kim,Enterprise,2020-08-19,Active,West,946653
EMP1130,Ashley Lewis,Retail,2021-06-18,Active,South,1222253
EMP1131,William Johnson,Enterprise,2021-06-15,Active,North,1598715
EMP1132,Daniel Schwartz,Enterprise,2023-01-25,Active,West,1540224
EMP1133,Caitlin Mcbride,Online,2019-02-10,Active,East,1395582
EMP1134,Jesus Forbes,Retail,2021-09-11,Active,East,720251
EMP1135,Terry Lewis,Online,2021-05-10,Active,East,768260
EMP1136,Marcia Hendricks,Online,2023-07-29,Active,South,1461619
EMP1137,Timothy Barnett,Online,2020-03-20,Active,South,554326
EMP1138,Tony Lang,Retail,2022-03-24,Active,North,1383456
EMP1139,Jennifer Zamora,Enterprise,2020-12-29,Active,East,1320603
EMP1140,William Richmond,Enterprise,2023-05-04,Active,North,1167782
EMP1141,Anne Nguyen,Online,2023-02-14,Active,South,600282
EMP1142,Jennifer Clark,Online,2019-08-19,Active,North,1496986
EMP1143,Lisa Dunlap,Online,2022-11-04,Active,East,585113
EMP1144,Shawn Crawford,Enterprise,2021-01-02,Active,East,1595064
EMP1145,Corey Price,Enterprise,2021-01-13,Active,South,1361917
EMP1146,Laura Harrell,Retail,2021-02-11,Active,East,954100
EMP1147,Michele Lee,Enterprise,2020-03-19,Active,West,538064
EMP1148,Mrs. Jennifer Maxwell,Retail,2021-12-10,Active,East,1427639
EMP1149,Leslie Cook,Enterprise,2022-03-14,Active,East,1251446
EMP1150,Felicia Smith,Online,2023-05-17,Active,South,1181563
EMP1151,Valerie Jones,Online,2019-03-20,Active,South,493644
EMP1152,Michael Tran,Retail,2022-11-19,Active,West,475117
EMP1153,Julia Moody,Online,2020-12-20,Active,North,504644
EMP1154,Joshua Sanchez,Online,2019-12-22,Active,South,1642164
EMP1155,Joseph Neal,Enterprise,2020-01-15,Active,West,1260152
EMP1156,Christopher Cruz,Online,2019-06-27,Active,North,1366187
EMP1157,Willie Sheppard,Enterprise,2019-09-10,Active,North,562612
EMP1158,Kimberly Park,Enterprise,2022-10-10,Active,West,458215
EMP1159,Dana Turner,Online,2022-10-25,Active,South,1299012
EMP1160,Garrett Robinson,Enterprise,2019-06-01,Active,South,1494471
EMP1161,Fernando Bates,Online,2021-02-08,Active,North,1475712
EMP1162,Donna Zuniga,Retail,2020-11-01,Active,East,1264446
EMP1163,Shannon Bennett,Online,2022-03-10,Active,West,1758792
EMP1164,Stephen Villegas,Online,2023-12-06,Active,West,782415
EMP1165,Jenna Chan,Online,2023-07-22,Active,North,584729
EMP1166,Charles Maxwell,Retail,2022-10-14,Active,North,870321
EMP1167,Meghan Hanson,Online,2022-12-31,Active,North,515631
EMP1168,Lindsey Schmidt,Enterprise,2019-06-21,Active,East,1596664
EMP1169,Stephen Allison,Online,2020-05-13,Active,East,1362270
EMP1170,Kristie Thomas,Online,2020-11-01,Active,East,1604016
EMP1171,Jeremy Harmon,Retail,2023-10-12,Active,South,1065238
EMP1172,Benjamin Christensen,Enterprise,2019-06-01,Active,West,1347691
EMP1173,Alicia Hudson,Enterprise,2021-02-21,Active,West,1692526
EMP1174,Kimberly Morrow,Enterprise,2020-05-18,Active,South,1367870
EMP1175,Andrew Hines,Online,2021-01-21,Active,East,1563132
EMP1176,Andrew Perez,Retail,2021-08-18,Active,South,679362
EMP1177,Robert Poole,Retail,2022-11-01,Active,East,911658
EMP1178,Cynthia Anderson,Retail,2021-10-07,Active,North,719059
EMP1179,Brian Clark,Online,2020-11-20,Active,North,1739335
EMP1180,Richard Clark,Enterprise,2020-08-14,Active,North,1349185
EMP1181,Troy Church,Retail,2023-05-17,Active,North,1669434
EMP1182,Daniel Lucero,Online,2022-10-25,Active,West,472059
EMP1183,Daniel Ortega,Retail,2020-02-19,Active,North,1543548
EMP1184,Wendy Merritt,Online,2020-01-19,Active,South,915321
EMP1185,Jerry Nelson,Online,2023-11-17,Active,West,1102567
EMP1186,Robert Hernandez,Retail,2020-01-01,Inactive,West,651136
EMP1187,Gregory Mack,Retail,2020-07-09,Inactive,West,1186647
EMP1188,Michelle Graham,Online,2021-11-05,Inactive,East,1374552
EMP1189,Edgar Thornton,Online,2021-06-08,Inactive,West,1639504
EMP1190,Tina Velazquez,Online,2021-08-19,Inactive,East,1438632
EMP1191,Courtney Reed,Online,2019-12-10,Inactive,East,1109960
EMP1192,Joshua Jones,Online,2020-06-12,Inactive,East,1542785
EMP1193,Amanda Barr,Online,2022-06-02,Inactive,North,857005
EMP1194,Jacqueline Smith,Retail,2021-08-20,Inactive,East,678484
EMP1195,Jill Murphy,Retail,2019-11-30,Inactive,East,1086384
EMP1196,Charles Russell,Retail,2019-06-07,Inactive,West,686897
EMP1197,Kim Simmons,Enterprise,2019-10-29,Inactive,West,1464583
EMP1198,Elizabeth Smith,Online,2019-02-10,Inactive,North,1272320
EMP1199,Mr. Alec Nelson,Enterprise,2022-09-04,Inactive,South,728593
